,year1_points,year1_points,year2_points,year2_points,year3_points,year3_points,year4_points,year4_points,year5_points,year5_points,year1_rebounds,year1_rebounds,year2_rebounds,year2_rebounds,year3_rebounds,year3_rebounds,year4_rebounds,year4_rebounds,year5_rebounds,year5_rebounds,year1_assists,year1_assists,year2_assists,year2_assists,year3_assists,year3_assists,year4_assists,year4_assists,year5_assists,year5_assists
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
pick_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14.030081300813007,5.3206898535120235,15.729268292682926,7.43165825969041,14.558536585365854,9.318760678673192,13.465040650406504,9.371102336046869,10.139024390243902,10.081950261947762,3.303252032520325,2.468914698082604,3.2455284552845525,2.411424267544398,3.14390243902439,2.426252273256384,2.7390243902439027,2.5519535789119594,2.18130081300813,2.788182650756643,5.767479674796748,3.420463747809338,5.767479674796748,3.7395600311223145,5.248780487804878,4.1196512355260175,4.9747967479674795,4.425061478521442,3.586178861788618,4.269938624075909
2,10.6940133037694,4.828816973692523,10.388026607538803,7.4427136357371495,11.895787139689578,8.632238254845065,10.289356984478935,9.370479819923556,9.818181818181818,9.228369494446985,2.3780487804878048,1.8939224631046094,2.2339246119733924,1.7996861563084146,2.3059866962305984,1.7725135037352164,1.9556541019955653,2.137337493794955,1.6707317073170733,1.4900223379262922,3.613082039911308,1.0616495043609182,3.2062084257206207,2.237580267490721,3.735033259423503,2.4402136790042817,3.07649667405765,2.5686938914213635,2.883592017738359,2.8104047546713313
3,9.88780487804878,5.286439580996695,11.817073170731707,6.4893700137209684,12.342276422764227,8.133275824193985,11.70650406504065,8.668076977205644,10.726016260162602,9.958399987912436,1.6634146341463414,1.4123254018486893,2.2398373983739837,2.0626329164516406,1.9284552845528455,1.7503830916910645,1.9894308943089432,2.112140737417895,1.5796747967479674,1.7492478361879278,4.326829268292683,2.229403239307176,4.438211382113821,2.327244622616547,4.613821138211382,3.194918027732777,4.14390243902439,2.8638335233079455,3.363414634146342,2.875763871829523
4,9.800813008130081,4.0923917258341715,9.209349593495935,5.147964333953812,9.356707317073171,7.377644937730009,10.227642276422765,7.331794749471174,6.905487804878049,7.30470152369174,2.1991869918699187,2.165495649016451,2.3658536585365852,2.6303557352843168,2.5254065040650406,3.6999045481453665,2.394308943089431,3.198443346254714,2.0223577235772354,2.6703182527486216,4.235772357723577,1.5078377007337982,3.92479674796748,2.5728729734581925,3.1758130081300813,2.721847596421682,3.807926829268293,2.68944041509811,2.813008130081301,3.0125444528144563
5,7.9573170731707314,4.538052894267515,10.066056910569106,5.929742648796076,10.10060975609756,7.0403226960477765,8.191056910569106,8.391074272665556,4.361788617886179,5.64699711568608,2.5538617886178865,2.098620744588696,2.8648373983739837,2.4728554923871586,3.0518292682926833,3.0747546555230727,1.9471544715447155,2.6370720250333908,1.2164634146341464,2.424051184872602,3.094512195121951,2.169368047469104,3.8780487804878043,2.6968445699303216,4.175813008130081,4.034565039701124,2.9786585365853657,2.927647358873686,2.225609756097561,3.0219372607227153
6,6.5066518847006645,4.825775910267723,7.57649667405765,5.87186470292896,6.9567627494456765,6.2886552709688255,6.233924611973392,7.42155850091108,6.834811529933481,8.843705962255202,1.6917960088691795,2.006563374706365,1.3547671840354767,1.544091755678409,1.5432372505543237,2.0033461273627045,1.3824833702882484,1.957423617852946,1.3082039911308205,1.8454575558368522,3.0942350332594235,1.919832084395706,3.3536585365853657,1.9081449765769714,2.637472283813747,1.9394622216924275,2.5199556541019956,2.9019689757075025,2.070953436807095,2.066667117336313
7,8.98780487804878,5.106757371432886,10.393569844789356,4.980694708290089,7.967849223946786,5.523507905436362,7.324833702882483,7.3068185718612275,9.5509977827051,8.102719885775846,1.7416851441241683,1.522973177270646,2.2427937915742793,1.592754401577168,1.688470066518847,1.3909322604404415,1.4545454545454546,2.038053296801518,1.7904656319290466,2.3281175690422313,2.978935698447893,1.6695125595421836,3.87250554323725,2.552665749409491,2.828159645232816,2.3417521071103358,2.376940133037694,2.4270649140738554,2.8381374722838135,2.59021112301322
8,8.139689578713968,4.216361306406498,8.35920177383592,6.02476883286665,7.825942350332595,6.596424975254922,5.1906873614190685,6.212241739813958,3.93569844789357,4.82179173314438,1.3913525498891353,1.0395288845281923,1.1363636363636365,0.6510828892452947,1.171840354767184,0.9934564994719626,0.7028824833702884,0.8180240685810485,0.5964523281596452,0.720182708356884,3.0321507760532147,1.035297230155275,3.0088691796008864,1.643313302817289,2.697339246119734,2.244636797793812,1.9478935698447892,2.2145689451902193,1.6252771618625277,1.855359384229575
