Team,Odds,W-L O/U,Result,Year,id,name,short_name,conference,division
Atlanta Hawks,10000,34.5,41-31 (over),2020,11,Atlanta Hawks,ATL,EAST,SOUTHEAST
Atlanta Hawks,25000,33.5,20-47 (under),2019,11,Atlanta Hawks,ATL,EAST,SOUTHEAST
Atlanta Hawks,150000,23.5,29-53 (over),2018,11,Atlanta Hawks,ATL,EAST,SOUTHEAST
Atlanta Hawks,200000,25.5,24-58 (under),2017,11,Atlanta Hawks,ATL,EAST,SOUTHEAST
Miami Heat,3500,48.5,53-29 (over),2021,15,Miami Heat,MIA,EAST,SOUTHEAST
Miami Heat,1600,43.5,40-32 (under),2020,15,Miami Heat,MIA,EAST,SOUTHEAST
Miami Heat,6000,43.5,44-29 (over),2019,15,Miami Heat,MIA,EAST,SOUTHEAST
Miami Heat,35000,43.0,39-43 (under),2018,15,Miami Heat,MIA,EAST,SOUTHEAST
Miami Heat,24000,43.5,44-38 (over),2017,15,Miami Heat,MIA,EAST,SOUTHEAST
Boston Celtics,4000,45.5,51-31 (over),2021,1,Boston Celtics,BOS,EAST,ATLANTIC
Boston Celtics,1400,44.5,36-36 (under),2020,1,Boston Celtics,BOS,EAST,ATLANTIC
Boston Celtics,2900,48.5,48-24 (under),2019,1,Boston Celtics,BOS,EAST,ATLANTIC
Boston Celtics,620,59.0,49-33 (under),2018,1,Boston Celtics,BOS,EAST,ATLANTIC
Boston Celtics,1200,53.5,55-27 (over),2017,1,Boston Celtics,BOS,EAST,ATLANTIC
Portland Trail Blazers,5000,44.5,27-55 (under),2021,19,Portland Trail Blazers,POR,WEST,NORTHWEST
Portland Trail Blazers,4000,40.5,42-30 (over),2020,19,Portland Trail Blazers,POR,WEST,NORTHWEST
Portland Trail Blazers,3500,46.5,35-39 (under),2019,19,Portland Trail Blazers,POR,WEST,NORTHWEST
Portland Trail Blazers,30000,42.0,53-29 (over),2018,19,Portland Trail Blazers,POR,WEST,NORTHWEST
Portland Trail Blazers,31500,42.5,49-33 (over),2017,19,Portland Trail Blazers,POR,WEST,NORTHWEST
New Orleans Pelicans,8000,39.5,36-46 (under),2021,27,New Orleans Pelicans,NOP,WEST,SOUTHWEST
New Orleans Pelicans,6500,36.5,31-41 (under),2020,27,New Orleans Pelicans,NOP,WEST,SOUTHWEST
New Orleans Pelicans,12500,37.5,30-42 (under),2019,27,New Orleans Pelicans,NOP,WEST,SOUTHWEST
New Orleans Pelicans,10000,45.5,33-49 (under),2018,27,New Orleans Pelicans,NOP,WEST,SOUTHWEST
New Orleans Pelicans,22000,39.5,48-34 (over),2017,27,New Orleans Pelicans,NOP,WEST,SOUTHWEST
New York Knicks,8000,41.5,37-45 (under),2021,3,New York Knicks,NYK,EAST,ATLANTIC
New York Knicks,50000,21.5,41-31 (over),2020,3,New York Knicks,NYK,EAST,ATLANTIC
New York Knicks,100000,26.5,21-45 (under),2019,3,New York Knicks,NYK,EAST,ATLANTIC
New York Knicks,35000,28.5,17-65 (under),2018,3,New York Knicks,NYK,EAST,ATLANTIC
New York Knicks,100000,30.5,29-53 (under),2017,3,New York Knicks,NYK,EAST,ATLANTIC
Memphis Grizzlies,10000,41.5,56-26 (over),2021,26,Memphis Grizzlies,MEM,WEST,SOUTHWEST
Memphis Grizzlies,15000,31.5,38-34 (over),2020,26,Memphis Grizzlies,MEM,WEST,SOUTHWEST
Memphis Grizzlies,100000,27.5,34-39 (over),2019,26,Memphis Grizzlies,MEM,WEST,SOUTHWEST
Memphis Grizzlies,65000,34.5,33-49 (under),2018,26,Memphis Grizzlies,MEM,WEST,SOUTHWEST
Memphis Grizzlies,37000,37.5,22-60 (under),2017,26,Memphis Grizzlies,MEM,WEST,SOUTHWEST
Indiana Pacers,10000,42.5,25-57 (under),2021,9,Indiana Pacers,IND,EAST,CENTRAL
Indiana Pacers,10000,38.5,34-38 (under),2020,9,Indiana Pacers,IND,EAST,CENTRAL
Indiana Pacers,5000,46.5,45-28 (under),2019,9,Indiana Pacers,IND,EAST,CENTRAL
Indiana Pacers,12500,47.5,48-34 (over),2018,9,Indiana Pacers,IND,EAST,CENTRAL
Indiana Pacers,125000,31.5,48-34 (over),2017,9,Indiana Pacers,IND,EAST,CENTRAL
Toronto Raptors,10000,35.5,48-34 (over),2021,5,Toronto Raptors,TOR,EAST,ATLANTIC
Toronto Raptors,2500,42.5,27-45 (under),2020,5,Toronto Raptors,TOR,EAST,ATLANTIC
Toronto Raptors,5500,46.5,53-19 (over),2019,5,Toronto Raptors,TOR,EAST,ATLANTIC
Toronto Raptors,1850,55.5,58-24 (over),2018,5,Toronto Raptors,TOR,EAST,ATLANTIC
Toronto Raptors,15000,48.5,59-23 (over),2017,5,Toronto Raptors,TOR,EAST,ATLANTIC
Charlotte Hornets,10000,38.5,43-39 (over),2021,12,Charlotte Hornets,CHA,EAST,SOUTHEAST
Charlotte Hornets,25000,26.5,33-39 (over),2020,12,Charlotte Hornets,CHA,EAST,SOUTHEAST
Charlotte Hornets,200000,23.5,23-42 (under),2019,12,Charlotte Hornets,CHA,EAST,SOUTHEAST
