CLE	DEN
PHI	CHI
BOS	ATL
MEM	DET
MIL	OKC
NOP	PHX
MIN	TOR
LAC	UTA
CHA	GSW
LAL	MIA
CHI	SAC
MEM	PHX
POR	WAS
NOP	BOS
CLE	OKC
ORL	DET
TOR	PHI
NYK	MIN
ATL	DEN
LAC	BKN
MIL	SAC
HOU	CHI
DAL	MEM
OKC	MIA
PHX	POR
UTA	CHA
LAL	WAS
CLE	ATL
ORL	DET
BKN	SAC
NYK	GSW
TOR	PHI
DAL	BOS
MIL	MIN
DEN	POR
LAC	WAS
IND	GSW
ATL	BOS
CLE	HOU
MIA	TOR
CHI	MIN
NOP	DET
OKC	SAS
PHX	CHA
UTA	LAL
PHI	DAL
BKN	ORL
NYK	SAC
MEM	LAC
DEN	WAS
MIL	NOP
BOS	IND
TOR	HOU
DET	SAC
MIA	UTA
CHI	PHX
MEM	LAC
OKC	ATL
GSW	CHA
LAL	POR
PHI	CLE
WAS	MIN
SAS	NOP
NYK	IND
ORL	UTA
OKC	DEN
BKN	DAL
MIL	LAC
BOS	WAS
DET	NYK
MIA	ATL
HOU	MEM
LAL	GSW
MIN	PHX
SAC	CHA
ORL	DAL
PHI	IND
CHI	DEN
NOP	UTA
SAS	BKN
HOU	CLE
POR	CHA
WAS	MEM
BOS	LAC
MIA	ATL
SAS	NYK
MIL	DEN
LAL	PHX
TOR	DET
CLE	IND
PHI	UTA
HOU	BKN
ORL	ATL
MIN	CHA
NOP	CHI
DAL	OKC
POR	GSW
SAC	LAL
BOS	TOR
WAS	LAC
NYK	DET
IND	DEN
MEM	MIL
NOP	MIA
SAS	OKC
PHX	GSW
POR	SAC
MEM	WAS
DAL	SAS
CHA	DET
BKN	BOS
TOR	ATL
MIA	ORL
CHI	PHI
MIL	NYK
NOP	MIN
OKC	DAL
LAC	GSW
POR	PHX
SAC	HOU
WAS	PHI
MEM	DEN
NOP	CLE
CHI	MIA
SAS	ORL
UTA	HOU
LAL	IND
OKC	NYK
BKN	DET
CHA	TOR
WAS	MIL
ATL	SAC
MIN	POR
PHX	IND
DEN	DAL
OKC	MEM
GSW	UTA
PHI	SAS
ORL	MIA
ATL	CLE
HOU	BOS
MIN	POR
CHI	TOR
