"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2018-01-15","GSW","CLE","33:24",76,23,4,7,0.5714285714285714,4,8,0.5,0.5,3,6,2,6,6,0.75,0.75,0.5,0.5333333333333333,0.5323966666666666,0.6666666666666666,0.6764705882352942,0,2,0.2857142857142857,0,0,23.529411764705884
"2018-01-17","GSW","CHI","34:55",77,30,4,7,0.5714285714285714,6,11,0.5454545454545454,0.6,4,0,8,15,3,0,0,0.8333333333333334,0.6111111111111112,0.5177970588235294,0.7222222222222222,0.75,0,1,0.14285714285714285,0,0,32.098765432098766
"2018-01-20","GSW","HOU","36:11",78,19,1,5,0.2,5,15,0.3333333333333333,0.35714285714285715,2,0,2,9,6,0,0,0.6,0.75,0.5699052631578948,0.425,0.42857142857142855,0,1,0.2,1,0.06666666666666667,32.142857142857146
"2018-01-23","GSW","NYK","33:16",69,32,1,4,0.25,8,15,0.5333333333333333,0.5333333333333333,6,2,0,15,9,1,1,0.625,0.7894736842105263,0.5275315789473684,0.6842105263157895,0.7380952380952381,0,0,0,0,0,30.555555555555557
"2018-01-25","GSW","MIN","37:26",79,25,4,5,0.8,5,9,0.5555555555555556,0.5555555555555556,2,2,6,12,3,0.25,0.25,0.8,0.6428571428571429,0.5321107142857143,0.8214285714285714,0.8333333333333334,0,0,0,0,0,19.10112359550562
"2018-01-27","GSW","BOS","36:48",76,49,8,11,0.7272727272727273,8,13,0.6153846153846154,0.6666666666666666,9,4,12,9,15,0.25,0.25,0.375,0.5416666666666666,0.5110891304347827,0.8333333333333334,0.8448275862068966,0,0,0,0,0,34.883720930232556
"2018-01-30","GSW","UTA","29:38",65,14,3,6,0.5,1,7,0.14285714285714285,0.14285714285714285,5,2,4,0,3,0.3333333333333333,0.3333333333333333,0,0.5384615384615384,0.5704038461538462,0.34615384615384615,0.43333333333333335,0,1,0.16666666666666666,0,0,25
"2018-02-02","GSW","SAC","35:35",79,23,4,7,0.5714285714285714,3,10,0.3,0.3,6,4,4,6,3,0.5,0.5,0.6666666666666666,0.5882352941176471,0.5111441176470589,0.5,0.575,0,2,0.2857142857142857,0,0,30.232558139534884
"2018-02-03","GSW","DEN","35:37",74,24,3,4,0.75,5,12,0.4166666666666667,0.4166666666666667,3,0,6,12,3,0,0,0.8,0.75,0.5080375,0.65625,0.6666666666666666,2,0,0,0,0,27.710843373493976
"2018-02-06","GSW","OKC","31:49",71,21,4,5,0.8,2,9,0.2222222222222222,0.25,7,2,6,3,3,0.25,0.25,0.5,0.6428571428571429,0.49601923076923077,0.5,0.6176470588235294,0,1,0.2,0,0,25.974025974025974
"2018-02-08","GSW","DAL","29:41",60,20,3,3,1,4,9,0.4444444444444444,0.4444444444444444,2,4,2,12,0,0.6666666666666666,0.6666666666666666,1,0.75,0.5198333333333334,0.75,0.7916666666666666,0,0,0,0,0,21.91780821917808
