home_won,home_scorer_1,home_scorer_2,home_scorer_3,home_scorer_4,home_scorer_5,away_scorer_1,away_scorer_2,away_scorer_3,away_scorer_4,away_scorer_5,home_rebounder_1,home_rebounder_2,home_rebounder_3,home_rebounder_4,home_rebounder_5,away_rebounder_1,away_rebounder_2,away_rebounder_3,away_rebounder_4,away_rebounder_5
0,24.951219512195124,19.01219512195122,10.5,8.548780487804878,7.402439024390244,19.87804878048781,17.134146341463413,15.317073170731708,7.951219512195122,7.951219512195122,7.426829268292683,7.170731707317073,6.463414634146342,4.926829268292683,3.341463414634146,7.268292682926829,4.414634146341464,4.097560975609756,4.085365853658536,3.963414634146341
1,19.87804878048781,17.134146341463413,15.317073170731708,7.951219512195122,7.951219512195122,24.951219512195124,19.01219512195122,10.5,8.548780487804878,7.402439024390244,7.268292682926829,4.414634146341464,4.097560975609756,4.085365853658536,3.963414634146341,7.426829268292683,7.170731707317073,6.463414634146342,4.926829268292683,3.341463414634146
0,24.951219512195124,19.01219512195122,10.5,8.548780487804878,7.402439024390244,19.87804878048781,17.134146341463413,15.317073170731708,7.951219512195122,7.951219512195122,7.426829268292683,7.170731707317073,6.463414634146342,4.926829268292683,3.341463414634146,7.268292682926829,4.414634146341464,4.097560975609756,4.085365853658536,3.963414634146341
1,24.951219512195124,19.01219512195122,10.5,8.548780487804878,7.402439024390244,19.87804878048781,17.134146341463413,15.317073170731708,7.951219512195122,7.951219512195122,7.426829268292683,7.170731707317073,6.463414634146342,4.926829268292683,3.341463414634146,7.268292682926829,4.414634146341464,4.097560975609756,4.085365853658536,3.963414634146341
1,19.87804878048781,17.134146341463413,15.317073170731708,7.951219512195122,7.951219512195122,24.951219512195124,19.01219512195122,10.5,8.548780487804878,7.402439024390244,7.268292682926829,4.414634146341464,4.097560975609756,4.085365853658536,3.963414634146341,7.426829268292683,7.170731707317073,6.463414634146342,4.926829268292683,3.341463414634146
0,19.87804878048781,17.134146341463413,15.317073170731708,7.951219512195122,7.951219512195122,24.951219512195124,19.01219512195122,10.5,8.548780487804878,7.402439024390244,7.268292682926829,4.414634146341464,4.097560975609756,4.085365853658536,3.963414634146341,7.426829268292683,7.170731707317073,6.463414634146342,4.926829268292683,3.341463414634146
0,16.670731707317074,14.865853658536585,13.024390243902438,10.524390243902438,10.292682926829269,24.951219512195124,19.01219512195122,10.5,8.548780487804878,7.402439024390244,6.878048780487805,4.719512195121951,4.7073170731707314,4.097560975609756,4.012195121951219,7.426829268292683,7.170731707317073,6.463414634146342,4.926829268292683,3.341463414634146
0,24.951219512195124,19.01219512195122,10.5,8.548780487804878,7.402439024390244,16.670731707317074,14.865853658536585,13.024390243902438,10.524390243902438,10.292682926829269,7.426829268292683,7.170731707317073,6.463414634146342,4.926829268292683,3.341463414634146,6.878048780487805,4.719512195121951,4.7073170731707314,4.097560975609756,4.012195121951219
1,19.87804878048781,17.134146341463413,15.317073170731708,7.951219512195122,7.951219512195122,22.52439024390244,15.670731707317072,10.731707317073171,8.74390243902439,7.292682926829267,7.268292682926829,4.414634146341464,4.097560975609756,4.085365853658536,3.963414634146341,7.23170731707317,4.926829268292683,4.573170731707317,4.2682926829268295,3.768292682926829
0,16.670731707317074,14.865853658536585,13.024390243902438,10.524390243902438,10.292682926829269,24.951219512195124,19.01219512195122,10.5,8.548780487804878,7.402439024390244,6.878048780487805,4.719512195121951,4.7073170731707314,4.097560975609756,4.012195121951219,7.426829268292683,7.170731707317073,6.463414634146342,4.926829268292683,3.341463414634146
